ID,Movie,Year,Rating,Watched,Cinema,Vote Average,Vote Count,Runtime,Genres,Budget,Revenue,Profit
281338,War for the Planet of the Apes,2017,5,2017-08-06,True,3.55,6179,140,Drama|Science Fiction|War,150000000.0,488533726.0,338533726.0
306947,The Invitation,2015,3,2017-08-11,False,3.25,1551,100,Thriller,30000000.0,231737.0,-29768263.0
12477,Grave of the Fireflies,1988,5,2017-08-11,False,4.2,2866,89,Animation|Drama|War,3700000.0,151866047.5,148166047.5
372058,Your Name,2016,4,2017-08-12,False,4.3,6027,106,Romance|Animation|Drama,30000000.0,357986087.0,327986087.0
9323,Ghost In The Shell,1995,3,2017-08-13,False,3.95,1824,83,Action|Animation|Science Fiction,30000000.0,2287714.0,-27712286.0
351460,Death Note,2017,1,2017-08-26,False,2.1,2920,101,Fantasy|Horror|Mystery|Thriller,40000000.0,151866047.5,111866047.5
396422,Annabelle: Creation,2017,3,2017-08-27,True,3.25,3874,109,Horror|Mystery|Thriller,15000000.0,306515884.0,291515884.0
418078,It Comes At Night,2017,2,2017-09-01,False,2.9,1493,91,Horror|Mystery|Drama,5000000.0,19280931.0,14280931.0
7446,Tropic Thunder,2008,4,2017-09-03,False,3.3,3878,107,Action|Comedy|Adventure|War,92000000.0,195702811.0,103702811.0
345938,The Shack,2017,2,2017-09-09,False,3.6,1161,132,Drama|Fantasy,20000000.0,92924405.0,72924405.0
346364,It,2017,5,2017-09-15,True,3.6,13805,135,Horror,35000000.0,701796444.0,666796444.0
238,The Godfather,1972,5,2017-09-17,False,4.35,12608,175,Drama|Crime,6000000.0,245066411.0,239066411.0
381283,Mother,2017,4,2017-10-03,True,3.5,4523,121,Drama|Horror|Mystery,30000000.0,44516999.0,14516999.0
335984,Blade Runner 2049,2017,5,2017-10-10,True,3.7,8492,163,Science Fiction|Drama,150000000.0,259239658.0,109239658.0
339403,Baby Driver,2017,4,2017-10-22,False,3.75,10414,113,Action|Crime,34000000.0,226945087.0,192945087.0
343674,Gerald's Game,2017,3,2017-11-03,False,3.2,2286,104,Drama|Horror|Thriller,30000000.0,151866047.5,121866047.5
284053,Thor: Ragnarok,2017,3,2017-11-03,True,3.8,14234,131,Action|Adventure|Comedy|Fantasy,180000000.0,853977126.0,673977126.0
395834,Wind River,2017,3,2017-11-12,False,3.7,3055,107,Crime|Drama|Mystery|Thriller,11000000.0,44998252.0,33998252.0
141052,Justice League,2017,3,2017-11-16,True,3.1,9297,120,Action|Adventure|Fantasy|Science Fiction,300000000.0,657924295.0,357924295.0
269149,Zootopia,2016,4,2017-11-17,False,3.85,11933,109,Animation|Adventure|Family|Comedy,150000000.0,1023784195.0,873784195.0
